Product_ID,Product_Category,Product_Price,Discount_Applied,Return_Status,Return_Probability,Risk_Score
PROD00006759,Clothing,375.6,40.31,1,0.6606673310179707,66.07
PROD00003023,Home,225.51,45.56,1,0.6503610741984028,65.04
PROD00009038,Clothing,110.14,27.5,1,0.6494130282260687,64.94
PROD00000740,Clothing,403.35,48.18,1,0.6486067401466521,64.86
PROD00004546,Clothing,59.1,49.35,1,0.6483637486365134,64.84
PROD00003143,Electronics,106.75,22.74,1,0.6482010328261254,64.82
PROD00006586,Books,28.55,39.82,1,0.6481094670041156,64.81
PROD00004281,Clothing,136.4,48.28,0,0.6458861380908207,64.59
PROD00004478,Electronics,342.96,39.84,0,0.6458449857061475,64.58
PROD00009900,Clothing,109.93,48.38,1,0.6450005286371178,64.5
PROD00008724,Clothing,456.95,10.65,0,0.6407841747840167,64.08
PROD00009665,Clothing,203.59,29.43,0,0.6402893074291252,64.03
PROD00003229,Electronics,390.62,39.91,0,0.6393331958022378,63.93
PROD00008250,Home,115.56,35.68,0,0.6391670245143649,63.92
PROD00001909,Clothing,157.29,37.58,1,0.6379217437107186,63.79
PROD00008987,Toys,176.22,44.84,0,0.6378382231842806,63.78
PROD00009513,Clothing,285.58,33.96,0,0.637778565125473,63.78
PROD00007187,Books,36.05,2.21,0,0.6377609370559957,63.78
PROD00007827,Toys,74.11,41.75,1,0.6373503338709788,63.74
PROD00009345,Clothing,487.57,29.86,0,0.6369707163779376,63.7
PROD00005531,Clothing,241.52,20.68,0,0.6359675505464257,63.6
PROD00004110,Home,99.13,41.33,0,0.634054981236043,63.41
PROD00006303,Clothing,295.77,38.35,1,0.6333075656045638,63.33
PROD00005524,Books,69.18,40.71,0,0.6332397529225466,63.32
PROD00002627,Electronics,40.26,43.92,0,0.632632014140946,63.26
PROD00004686,Clothing,90.21,39.49,1,0.6324192537210391,63.24
PROD00008686,Home,211.65,19.92,0,0.6310960745619169,63.11
PROD00003907,Clothing,13.37,41.37,1,0.630646080214047,63.06
PROD00001332,Toys,81.78,16.89,0,0.6303278176524008,63.03
PROD00001118,Electronics,42.38,30.34,1,0.6299983346260432,63.0
PROD00000835,Electronics,270.07,27.05,1,0.630049350979118,63.0
PROD00009430,Books,114.16,26.31,0,0.6288771850466783,62.89
PROD00008434,Toys,498.63,41.21,0,0.628545471493731,62.85
PROD00001266,Electronics,69.91,37.71,1,0.6284185392092191,62.84
PROD00003368,Books,307.84,20.25,1,0.6260588503799109,62.61
PROD00009789,Electronics,295.19,13.16,0,0.625634557642682,62.56
PROD00008584,Clothing,367.48,36.58,0,0.6246018707446556,62.46
PROD00006953,Books,496.94,45.72,1,0.6237328589196116,62.37
PROD00000291,Clothing,181.12,31.29,1,0.6234467120698383,62.34
PROD00006223,Electronics,426.07,33.43,0,0.6229189280684149,62.29
PROD00002045,Home,85.87,36.96,0,0.6228347099047903,62.28
PROD00002567,Electronics,447.27,34.69,1,0.6227758207463058,62.28
PROD00005470,Books,76.93,46.5,0,0.6227588103490801,62.28
PROD00004036,Electronics,17.72,18.73,0,0.6227030893177246,62.27
PROD00001325,Clothing,482.67,36.74,1,0.622071896047432,62.21
PROD00000941,Clothing,403.01,47.34,0,0.6210802856704807,62.11
PROD00007797,Books,183.19,40.78,1,0.6194900333475485,61.95
PROD00003691,Home,221.96,39.83,1,0.6191182353626805,61.91
PROD00003300,Clothing,451.89,10.51,0,0.6188591489032796,61.89
PROD00005449,Home,288.02,43.52,0,0.6177389930021568,61.77
PROD00008433,Electronics,184.59,37.81,1,0.6175462849223282,61.75
PROD00004325,Clothing,121.7,35.63,0,0.6172400661376857,61.72
PROD00009721,Electronics,413.75,26.11,0,0.6170117209882463,61.7
PROD00005914,Electronics,110.44,25.1,0,0.6166876583064831,61.67
PROD00008782,Clothing,30.75,16.08,0,0.6160867258413631,61.61
PROD00009392,Toys,83.62,9.91,1,0.6158913267364983,61.59
PROD00009528,Clothing,345.12,10.88,1,0.6151696184559103,61.52
